"","count_bin","emis_bin","prob"
"1","1","1",3.72152274956765e-06
"2","2","1",5.54046324591887e-18
"3","3","1",0
"4","1","2",2.24569610140796e-19
"5","2","2",5.84399794046264e-18
"6","3","2",5.89627275664627e-18
"7","4","2",3.22130600307751e-19
"8","1","3",1
"9","2","3",5.75027548192824e-18
"10","3","3",6.18176887179254e-18
"11","4","3",5.92418813776598e-18
"12","5","3",4.16634330930709e-20
"13","1","4",1
"14","2","4",1
"15","3","4",5.87411848169784e-18
"16","4","4",8.19075317884804e-18
"17","5","4",7.21824272293374e-18
"18","2","5",1
"19","3","5",1
"20","4","5",0.0890842358058814
"21","5","5",1.90958388951102e-17
